semana	fechas	fase	objetivo	mates_resumen	historia_resumen	ingles_resumen	mision	duracion	nota_clave
29	6-12 abr	3	Estrategia de examen	Estrategia: orden y elección	Estrategia: comentario y tema	Estrategia: tiempo y orden	estrategia_examen + ejercicio_corto	25 min	Crear guías por asignatura antes
30	13-19 abr	3	Formato PAU real	Simulacro parcial PAU	Comentario/fuente con rúbrica PAU	Writing completo con IA	correccion_ia + mini_simulacro	40 min	No llamar "examen real" a tarea parcial
31	20-26 abr	3	Bloques débiles	Bloque con más errores del año	Temas con peor resultado	Tipo de tarea con más errores	repaso_error + ejercicio_corto	30 min	Basarse en historial real
32	27 abr - 3 may	3	Simulacro parcial intenso	2 preguntas formato PAU	Tema + fuente histórica	Reading + writing parcial	mini_simulacro + correccion_ia	40 min	—
33	4-10 may	3	Repaso final fase 3	Consolidación de errores	Repaso cronológico rápido	Vocabulario y gramática sistemática	repaso_error + flashcard	25 min	No añadir teoría nueva
34	11-17 may	4	Simulacros completos semana 1	Simulacro completo Matemáticas II	Simulacro completo Historia	Simulacro completo Inglés	simulacro_completo_escalonado	60-90 min / 25-30 min	No hacer los 3 el mismo día
35	18-24 may	4	Repaso errores simulacro 1	Repaso errores por bloque	Repaso comentario y temas	Repaso writing, reading y UoE	repaso_error	30 min	Usar errores reales del simulacro
36	25-31 may	4	Simulacros completos semana 2	Segundo simulacro Matemáticas II	Segundo simulacro Historia	Segundo simulacro Inglés	simulacro_completo_escalonado	60-90 min / 25-30 min	Exámenes distintos a semana 34
37	1-7 jun	4	Repaso intenso final	Errores recurrentes del año	Errores recurrentes y estructuras	Errores writing, reading y grammar	repaso_error + flashcard	25-30 min	Comunicación calmada; sin contenido nuevo
38	8-14 jun	4	Semana PAU — repaso ligero	Fórmulas y conceptos clave	Fechas y estructura de respuesta	Vocabulary y grammar muy ligero	flashcard + repaso_ligero	10-15 min	Ajustar fechas según convocatoria oficial
