semana	fechas_aproximadas	fase	objetivo_semanal	matematicas_ii	historia_espana	ingles	tipo_mision_diaria	duracion_estimada	notas_revision
13	24-30 nov	1	Probabilidad básica	Probabilidad: combinatoria, espacio muestral y probabilidad condicionada básica	Crisis de la Restauración: Alfonso XIII, Semana Trágica y crisis de 1917	Vocabulary: vocabulario de temas sociales	flashcard + ejercicio_corto	20-25 min	Bayes/binomial como ampliación según comunidad autónoma
14	1-7 dic	1	Repaso estadística y probabilidad	Estadística y probabilidad: repaso guiado y errores frecuentes	Segunda República: proclamación, reformas y bienios	Reading: texto de prensa o periodístico	repaso_error + ejercicio_corto	20-25 min	—
15	8-14 dic	1	Primer mini simulacro	Mini simulacro diagnóstico: álgebra + análisis inicial	Historia: mini simulacro siglo XIX + Restauración	Mini test inglés: reading + use of english	mini_simulacro	30 min	Primer mini simulacro — revisar formato, duración y si el alumno recibe feedback claro
16	15-21 dic	1	Cierre fase 1 y plan de vacaciones	Repaso general fase 1: álgebra, análisis inicial, geometría y probabilidad	Repaso general fase 1: siglo XVIII, siglo XIX y Restauración	Repaso general: reading, use of english y writing básico	repaso_error + flashcard + test	20 min	Semana previa a vacaciones — misión ligera y mensaje de progreso del primer trimestre
17	12-18 ene	2	Vuelta al hábito tras Navidad	Análisis: integrales indefinidas, notación y reglas básicas	Guerra Civil: causas, sublevación y contexto político	Grammar: reported speech y estilo indirecto	ejercicio_corto + flashcard	20 min	Vuelta de vacaciones — incluir misión reducida si lleva más de 2 días sin entrar
18	19-25 ene	2	Integrales y primera corrección del trimestre	Análisis: integrales definidas y propiedades	Guerra Civil: desarrollo del conflicto y evolución de los bandos	Writing: texto argumentativo con corrección IA	ejercicio_corto + correccion_ia	25 min	—
19	26 ene - 1 feb	2	Integrales aplicadas	Análisis: cálculo de áreas entre curvas	Guerra Civil: consecuencias políticas, sociales y económicas	Reading: texto de actualidad tipo PAU	ejercicio_corto + reading	25 min	Revisar si hay suficientes ejercicios PAU de áreas para dos semanas completas
20	2-8 feb	2	Primer mini simulacro de análisis	Mini simulacro: límites, derivadas e integrales	Franquismo: etapas, bases ideológicas y evolución del régimen	Use of English: phrasal verbs frecuentes en PAU	mini_simulacro	30 min	No mezclar demasiados bloques todavía; centrar el mini simulacro en análisis
21	9-15 feb	2	Detección de puntos débiles	Repaso del bloque con más errores acumulados	Franquismo: economía, sociedad y desarrollismo de los años 60	Writing libre con corrección IA	correccion_ia + repaso_error	25 min	La misión debe adaptarse al historial real del alumno
22	16-22 feb	2	Geometría y franquismo tardío	Geometría: repaso y ejercicios tipo PAU	Franquismo tardío: oposición política, crisis final y muerte de Franco	Vocabulary: temas económicos, políticos y sociales	ejercicio_corto + flashcard	25 min	—
23	23 feb - 1 mar	2	Simulacro mixto por asignatura	Mini simulacro mixto: álgebra + análisis	Mini simulacro: Guerra Civil + Franquismo	Mini test inglés: reading + use of english + writing corto	mini_simulacro	35 min	Revisar formato del mini test inglés y criterios de puntuación
24	2-8 mar	2	Transición y repaso de estadística	Estadística: repaso y ejercicios tipo PAU	Transición: muerte de Franco, reforma política, Constitución de 1978 y consolidación democrática	Reading: artículo de opinión en inglés	ejercicio_corto + reading	25 min	Validar diferencias de temario entre Madrid y Cataluña
25	9-15 mar	2	España democrática y repaso de puntos débiles	Probabilidad: repaso y errores acumulados	España democrática: gobiernos constitucionales, integración europea y cambios sociales	Grammar: conditionals y modal verbs	repaso_error + ejercicio_corto	25 min	Validar qué parte de España democrática entra por comunidad autónoma
26	16-22 mar	2	Predicción de nota con datos reales	Simulacro parcial: análisis con 2-3 ejercicios	Historia: mini simulacro mixto con 2 temas	Writing + reading: simulacro parcial inglés	mini_simulacro + correccion_ia	35 min	Mostrar predicción solo como orientativa si hay datos suficientes; si no, mostrar progreso y confianza baja
27	23-29 mar	2	Repaso cierre fase 2	Repaso general con enfoque en errores recurrentes	Repaso general de Historia con flashcards	Repaso vocabulario y gramática	repaso_error + flashcard	20 min	—
28	30 mar - 5 abr	2	Cierre fase 2 con simulacros parciales	Simulacro parcial: álgebra + estadística	Simulacro parcial: 3 temas históricos	Mini simulacro inglés completo	mini_simulacro	35 min	Semana de transición a fase 3 — revisar si la intensidad es adecuada
29	6-12 abr	3	Estrategia de examen	Estrategia: qué ejercicios elegir y en qué orden	Estrategia: cómo estructurar comentario, tema y fuente histórica	Estrategia: gestión del tiempo en el examen PAU de inglés	estrategia_examen + ejercicio_corto	25 min	Crear guías breves de estrategia por asignatura antes de implementar
30	13-19 abr	3	Formato PAU con rúbricas	Simulacro parcial en formato PAU real	Comentario o fuente histórica con rúbrica PAU	Writing completo con corrección IA	correccion_ia + mini_simulacro	40 min	No llamar "examen real" a una tarea parcial; usar rúbricas y feedback claro
31	20-26 abr	3	Bloques más débiles	Identificar y atacar el bloque con más errores del año	Historia: repaso de los temas con peor resultado	Inglés: tipo de tarea con mayor tasa de error	repaso_error + ejercicio_corto	30 min	La misión debe salir del historial real, no de una regla fija
32	27 abr - 3 may	3	Simulacro parcial intenso	Simulacro: 2 preguntas en formato PAU real	Historia: simulacro tema + fuente histórica	Reading + writing: examen parcial inglés completo	mini_simulacro + correccion_ia	40 min	—
33	4-10 may	3	Repaso final fase 3	Repaso general y consolidación de errores	Repaso cronológico rápido de toda la historia	Vocabulary y grammar: repaso sistemático rápido	repaso_error + flashcard	25 min	Última semana antes de simulacros completos; no añadir teoría nueva
34	11-17 may	4	Primera semana de simulacros completos escalonados	Simulacro completo Matemáticas II en formato PAU	Simulacro completo Historia de España en formato PAU	Simulacro completo Inglés en formato PAU	simulacro_completo_escalonado	60-90 min día simulacro / 25-30 min días repaso	No hacer los tres simulacros el mismo día; repartirlos durante la semana
35	18-24 may	4	Repaso de errores del primer simulacro	Repaso de errores por bloque del simulacro 1	Repaso de errores en comentario, tema y fuente histórica	Repaso de errores writing, reading y use of english	repaso_error	30 min	La misión debe basarse en errores reales detectados; no generar ejercicios genéricos si hay historial suficiente
36	25-31 may	4	Segunda semana de simulacros completos escalonados	Segundo simulacro completo Matemáticas II en formato PAU	Segundo simulacro completo Historia de España en formato PAU	Segundo simulacro completo Inglés en formato PAU	simulacro_completo_escalonado	60-90 min día simulacro / 25-30 min días repaso	Usar exámenes distintos a la semana 34 y comparar evolución sin generar ansiedad
37	1-7 jun	4	Repaso intenso final sin contenido nuevo	Repaso de errores recurrentes de todo el año	Repaso de errores recurrentes y estructuras de respuesta	Repaso de errores recurrentes de writing, reading y grammar	repaso_error + flashcard	25-30 min	Comunicación calmada; no introducir contenido nuevo; no usar correcciones largas salvo revisión de errores ya hechos
38	8-14 jun	4	Semana PAU — repaso ligero y confianza	Flashcards de fórmulas, conceptos clave y errores frecuentes	Flashcards de fechas, conceptos y estructura de respuesta	Vocabulary, connectors y grammar muy ligero	flashcard + repaso_ligero	10-15 min	Ajustar fechas exactas según convocatoria oficial PAU de cada año y comunidad autónoma; no introducir contenido nuevo
